"priority","url"
"1.0","https://www.bookaway.com/routes/thailand/bangkok-to-pattaya"
"0.8","https://www.bookaway.com/routes/thailand/bangkok-to-pattaya/tourist-bus-by-roong-reuang-coach-1"
"0.5","https://www.bookaway.com/s/thailand/pattaya-to-bangkok"
"1.0","https://www.bookaway.com/routes/thailand/pattaya-to-bangkok"
"0.8","https://www.bookaway.com/routes/thailand/pattaya-to-bangkok/tourist-bus-by-roong-reuang-coach-1"
"1.0","https://www.bookaway.com/suppliers/roong-reuang-coach"
"0.5","https://www.bookaway.com/s/thailand/bangkok-to-pattaya"
"1.0","https://www.bookaway.com/routes/thailand/bangkok-to-pattaya"
"0.8","https://www.bookaway.com/routes/thailand/bangkok-to-pattaya/economy-bus-by-roong-reuang-coach"
"0.5","https://www.bookaway.com/s/thailand/pattaya-to-bangkok"
"1.0","https://www.bookaway.com/routes/thailand/pattaya-to-bangkok"
"0.8","https://www.bookaway.com/routes/thailand/pattaya-to-bangkok/economy-bus-by-roong-reuang-coach"
"1.0","https://www.bookaway.com/suppliers/roong-reuang-coach"
"0.5","https://www.bookaway.com/s/vietnam/hanoi-to-sapa"
"1.0","https://www.bookaway.com/routes/vietnam/hanoi-to-sapa"
"0.8","https://www.bookaway.com/routes/vietnam/hanoi-to-sapa/suv-car-7-pax-by-ab-vietnam-travel"
"0.5","https://www.bookaway.com/s/vietnam/sapa-to-hanoi"
"1.0","https://www.bookaway.com/routes/vietnam/sapa-to-hanoi"
"0.8","https://www.bookaway.com/routes/vietnam/sapa-to-hanoi/suv-car-7-pax-by-ab-vietnam-travel"
"1.0","https://www.bookaway.com/suppliers/ab-vietnam-travel"
"0.5","https://www.bookaway.com/s/vietnam/hanoi-to-sapa"
"1.0","https://www.bookaway.com/routes/vietnam/hanoi-to-sapa"
"0.8","https://www.bookaway.com/routes/vietnam/hanoi-to-sapa/suv-car-5-pax-by-ab-vietnam-travel"
"0.5","https://www.bookaway.com/s/vietnam/sapa-to-hanoi"
"1.0","https://www.bookaway.com/routes/vietnam/sapa-to-hanoi"
"0.8","https://www.bookaway.com/routes/vietnam/sapa-to-hanoi/suv-car-5-pax-by-ab-vietnam-travel"
"1.0","https://www.bookaway.com/suppliers/ab-vietnam-travel"
"0.5","https://www.bookaway.com/s/vietnam/hanoi-to-halong-bay"
"1.0","https://www.bookaway.com/routes/vietnam/hanoi-to-halong-bay"
"0.8","https://www.bookaway.com/routes/vietnam/hanoi-to-halong-bay/luxury-car-3-pax-by-ab-vietnam-travel"
"0.5","https://www.bookaway.com/s/vietnam/halong-bay-to-hanoi"
"1.0","https://www.bookaway.com/routes/vietnam/halong-bay-to-hanoi"
"0.8","https://www.bookaway.com/routes/vietnam/halong-bay-to-hanoi/luxury-car-3-pax-by-ab-vietnam-travel"
"1.0","https://www.bookaway.com/suppliers/ab-vietnam-travel"
"0.5","https://www.bookaway.com/s/vietnam/hanoi-to-halong-bay"
"1.0","https://www.bookaway.com/routes/vietnam/hanoi-to-halong-bay"
"0.8","https://www.bookaway.com/routes/vietnam/hanoi-to-halong-bay/suv-car-4-pax-by-ab-vietnam-travel"
"0.5","https://www.bookaway.com/s/vietnam/halong-bay-to-hanoi"
"1.0","https://www.bookaway.com/routes/vietnam/halong-bay-to-hanoi"
"0.8","https://www.bookaway.com/routes/vietnam/halong-bay-to-hanoi/suv-car-4-pax-by-ab-vietnam-travel"
"1.0","https://www.bookaway.com/suppliers/ab-vietnam-travel"
"0.5","https://www.bookaway.com/s/vietnam/hanoi-to-ninh-binh"
"1.0","https://www.bookaway.com/routes/vietnam/hanoi-to-ninh-binh"
"0.8","https://www.bookaway.com/routes/vietnam/hanoi-to-ninh-binh/tourist-bus-by-the-long-travel"
"0.5","https://www.bookaway.com/s/vietnam/ninh-binh-to-hanoi"
"1.0","https://www.bookaway.com/routes/vietnam/ninh-binh-to-hanoi"
"0.8","https://www.bookaway.com/routes/vietnam/ninh-binh-to-hanoi/tourist-bus-by-the-long-travel"
"1.0","https://www.bookaway.com/suppliers/the-long-travel"
"0.5","https://www.bookaway.com/s/vietnam/cat-ba-island-to-ninh-binh"
"1.0","https://www.bookaway.com/routes/vietnam/cat-ba-island-to-ninh-binh"
"0.8","https://www.bookaway.com/routes/vietnam/cat-ba-island-to-ninh-binh/tourist-bus-ferry-by-the-long-travel"
"0.5","https://www.bookaway.com/s/vietnam/ninh-binh-to-cat-ba-island"
"1.0","https://www.bookaway.com/routes/vietnam/ninh-binh-to-cat-ba-island"
"0.8","https://www.bookaway.com/routes/vietnam/ninh-binh-to-cat-ba-island/tourist-bus-ferry-by-the-long-travel"
"1.0","https://www.bookaway.com/suppliers/the-long-travel"
"0.5","https://www.bookaway.com/s/vietnam/halong-bay-to-ninh-binh"
"1.0","https://www.bookaway.com/routes/vietnam/halong-bay-to-ninh-binh"
"0.8","https://www.bookaway.com/routes/vietnam/halong-bay-to-ninh-binh/tourist-bus-by-the-long-travel-1"
"0.5","https://www.bookaway.com/s/vietnam/ninh-binh-to-halong-bay"
"1.0","https://www.bookaway.com/routes/vietnam/ninh-binh-to-halong-bay"
"0.8","https://www.bookaway.com/routes/vietnam/ninh-binh-to-halong-bay/tourist-bus-by-the-long-travel-1"
"1.0","https://www.bookaway.com/suppliers/the-long-travel"
"0.5","https://www.bookaway.com/s/thailand/bangkok-to-koh-lanta"
"1.0","https://www.bookaway.com/routes/thailand/bangkok-to-koh-lanta"
"0.8","https://www.bookaway.com/routes/thailand/bangkok-to-koh-lanta/standard-bus-ferry-by-songserm"
"1.0","https://www.bookaway.com/suppliers/songserm"
"0.5","https://www.bookaway.com/s/thailand/bangkok-to-koh-tao"
"1.0","https://www.bookaway.com/routes/thailand/bangkok-to-koh-tao"
"0.8","https://www.bookaway.com/routes/thailand/bangkok-to-koh-tao/standard-bus-ferry-by-songserm-1"
"0.5","https://www.bookaway.com/s/thailand/koh-tao-to-bangkok"
"1.0","https://www.bookaway.com/routes/thailand/koh-tao-to-bangkok"
"0.8","https://www.bookaway.com/routes/thailand/koh-tao-to-bangkok/standard-bus-ferry-by-songserm-1"
"1.0","https://www.bookaway.com/suppliers/songserm"
"0.5","https://www.bookaway.com/s/thailand/koh-tao-to-koh-phangan"
"1.0","https://www.bookaway.com/routes/thailand/koh-tao-to-koh-phangan"
"0.8","https://www.bookaway.com/routes/thailand/koh-tao-to-koh-phangan/high-speed-ferry-by-songserm"
"0.5","https://www.bookaway.com/s/thailand/koh-phangan-to-koh-tao"
