"path","id","pureUrl","checkRoute"
"/travel/phuket/khao-lak",2786,"phuket-khao-lak","create route phuket-khao-lak"
"/travel/phuket/hat-yai",2795,"phuket-hat-yai","create route phuket-hat-yai"
"/travel/koh-lipe/koh-lanta",2534,"koh-lipe-koh-lanta","create route koh-lipe-koh-lanta"
"/travel/hua-hin/koh-samui",865,"hua-hin-koh-samui","create route hua-hin-koh-samui"
"/travel/ao-nang-krabi/koh-samui",778,"ao-nang-krabi-koh-samui","create route ao-nang-krabi-koh-samui"
"/travel/railay/koh-phangan",785,"railay-koh-phangan","create route railay-koh-phangan"
"/travel/koh-tao/phuket",245,"koh-tao-phuket","create route koh-tao-phuket"
"/travel/bangkok/chiangmai",838,"bangkok-chiangmai","create route bangkok-chiangmai"
"/travel/koh-tao/krabi",238,"koh-tao-krabi","create route koh-tao-krabi"
"/travel/donsak/bangkok",855,"donsak-bangkok","create route donsak-bangkok"
"/travel/koh-tao/koh-phi-phi",234,"koh-tao-koh-phi-phi","create route koh-tao-koh-phi-phi"
"/travel/donsak/koh-phi-phi",772,"donsak-koh-phi-phi","create route donsak-koh-phi-phi"
"/travel/bangkok/koh-phi-phi",706,"bangkok-koh-phi-phi","create route bangkok-koh-phi-phi"
"/travel/phuket/satun",2796,"phuket-satun","create route phuket-satun"
"/travel/bangkok/krabi",675,"bangkok-krabi","create route bangkok-krabi"
"/travel/koh-phi-phi/koh-samui",777,"koh-phi-phi-koh-samui","create route koh-phi-phi-koh-samui"
"/travel/koh-lanta/koh-samui",779,"koh-lanta-koh-samui","create route koh-lanta-koh-samui"
"/travel/ao-nang-krabi/koh-phangan",783,"ao-nang-krabi-koh-phangan","create route ao-nang-krabi-koh-phangan"
"/travel/koh-lanta/koh-phangan",784,"koh-lanta-koh-phangan","create route koh-lanta-koh-phangan"
"/travel/koh-chang/bangkok",647,"koh-chang-bangkok","create route koh-chang-bangkok"
"/travel/bangkok/koh-chang",646,"bangkok-koh-chang","create route bangkok-koh-chang"
"/travel/bangkok/ao-nang-krabi",676,"bangkok-ao-nang-krabi","create route bangkok-ao-nang-krabi"
"/travel/koh-lipe/koh-bulone",2529,"koh-lipe-koh-bulone","create route koh-lipe-koh-bulone"
"/travel/krabi/phang-nga",43,"krabi-phang-nga","create route krabi-phang-nga"
"/travel/bangkok/koh-lanta",5163,"bangkok-koh-lanta","create route bangkok-koh-lanta"
"/travel/suratthani/ao-nang-krabi",764,"suratthani-ao-nang-krabi","create route suratthani-ao-nang-krabi"
"/travel/bangkok/khao-sok",422,"bangkok-khao-sok","create route bangkok-khao-sok"
"/travel/krabi/krabi",904,"krabi-krabi","create route krabi-krabi"
"/travel/khao-sok/krabi",4707,"khao-sok-krabi","create route khao-sok-krabi"
"/travel/koh-tao/railay",247,"koh-tao-railay","create route koh-tao-railay"
"/travel/phuket/koh-lanta",5176,"phuket-koh-lanta","create route phuket-koh-lanta"
